time,open,high,low,close,tick_volume,spread,real_volume
2023-11-16 16:00:00,99997.33,100463.42,99923.86,100352.46,773,267,0
2023-11-16 17:00:00,100355.14,100657.93,99694.97,99775.63,2999,267,0
2023-11-16 18:00:00,99791.43,100245.22,99351.63,99857.88,3600,531,0
2023-11-16 19:00:00,99875.9,100213.21,99397.68,100112.99,3599,531,0
2023-11-16 20:00:00,100117.99,101109.13,100049.59,100530.13,3599,534,0
2023-11-16 21:00:00,100509.62,100553.65,99853.65,100106.81,3598,533,0
2023-11-16 22:00:00,100128.47,100601.25,99963.8,100284.3,3598,534,0
2023-11-16 23:00:00,100267.87,100764.02,100126.48,100546.33,3599,535,0
2023-11-17 00:00:00,100531.06,100998.47,100260.71,100614.39,3598,535,0
2023-11-17 01:00:00,100615.51,100887.77,100279.41,100731.9,3598,535,0
2023-11-17 02:00:00,100711.26,101005.71,100227.99,100371.6,3599,535,0
2023-11-17 03:00:00,100360.8,100673.49,99827.77,100020.43,3600,533,0
2023-11-17 04:00:00,99996.05,100676.11,99731.79,100432.84,3599,532,0
2023-11-17 05:00:00,100428.26,100886.0,100134.72,100666.71,3600,535,0
2023-11-17 06:00:00,100662.27,101291.6,100474.04,101166.29,3600,536,0
2023-11-17 07:00:00,101162.25,101390.13,100669.71,101141.48,3598,537,0
2023-11-17 08:00:00,101146.05,101707.42,100709.39,100991.63,3599,538,0
2023-11-17 09:00:00,100989.98,101029.37,100450.06,100764.1,3599,536,0
2023-11-17 10:00:00,100763.33,101063.3,100369.71,100658.58,3599,536,0
2023-11-17 11:00:00,100661.79,101579.2,100504.46,101350.2,3600,536,0
2023-11-17 12:00:00,101356.92,101970.71,100943.23,101163.56,3599,539,0
2023-11-17 13:00:00,101157.98,101273.13,100396.76,100881.32,3596,536,0
2023-11-17 14:00:00,100867.34,101194.45,100476.45,101072.85,3599,536,0
2023-11-17 15:00:00,101076.0,101145.51,100022.57,100203.97,3532,268,0
2023-11-17 16:00:00,100187.76,100760.13,100153.77,100315.5,3599,535,0
2023-11-17 17:00:00,100310.58,100530.62,99773.26,99773.26,3599,533,0
2023-11-17 18:00:00,99782.18,100329.17,99419.36,100329.17,3599,531,0
2023-11-17 19:00:00,100320.05,101400.99,100183.15,101202.6,3598,535,0
2023-11-17 20:00:00,101213.49,101531.22,100852.52,101152.39,3598,538,0
2023-11-17 21:00:00,101164.63,101269.34,100422.31,100512.63,3598,536,0
2023-11-17 22:00:00,100530.21,101082.32,99859.31,99971.35,3599,533,0
2023-11-17 23:00:00,99970.61,99986.16,99329.89,99738.54,3597,530,0
2023-11-18 00:00:00,99730.25,99730.25,98767.3,98894.16,3598,527,0
2023-11-18 01:00:00,98896.67,99482.48,98186.7,98251.93,3599,524,0
2023-11-18 02:00:00,98235.32,98398.73,97819.0,98060.94,3600,522,0
2023-11-18 03:00:00,98066.7,98327.8,97733.11,98229.36,3599,522,0
2023-11-18 04:00:00,98244.94,98919.7,98219.28,98603.2,3598,524,0
2023-11-18 05:00:00,98584.26,98951.24,98152.22,98506.9,3598,524,0
2023-11-18 06:00:00,98501.22,98521.53,97384.09,97584.04,3600,520,0
2023-11-18 07:00:00,97585.57,98423.96,97541.37,98213.3,3598,521,0
2023-11-18 08:00:00,98202.04,98960.34,98192.84,98566.66,3599,524,0
2023-11-18 09:00:00,98562.25,99301.29,98483.7,99131.73,3598,526,0
2023-11-18 10:00:00,99132.91,99902.79,98689.77,99790.98,3598,527,0
2023-11-18 11:00:00,99796.1,100178.45,99343.43,99957.49,3599,530,0
2023-11-18 12:00:00,99957.18,100166.48,99516.81,99865.4,3597,531,0
2023-11-18 13:00:00,99842.09,100337.7,99562.64,100027.4,3600,531,0
2023-11-18 14:00:00,100032.68,100860.41,99966.21,100560.0,3599,534,0
2023-11-18 15:00:00,100561.96,101029.68,99884.91,100872.58,3597,533,0
2023-11-18 16:00:00,100897.15,101201.75,99865.63,100033.44,3599,533,0
2023-11-18 17:00:00,100027.8,100442.39,99566.42,99767.56,3598,532,0
2023-11-18 18:00:00,99759.55,100120.62,99060.48,99847.77,3600,529,0
2023-11-18 19:00:00,99843.56,100028.04,99364.29,99459.24,3599,530,0
2023-11-18 20:00:00,99450.37,100068.35,99233.58,99592.99,3599,530,0
2023-11-18 21:00:00,99569.85,100391.52,99387.5,100271.67,3599,531,0
2023-11-18 22:00:00,100260.77,100885.22,99995.11,100198.8,3600,534,0
2023-11-18 23:00:00,100196.04,100847.25,99942.31,100792.61,3599,533,0
2023-11-19 00:00:00,100793.36,101955.42,100793.36,101622.33,3597,538,0
2023-11-19 01:00:00,101632.68,102060.57,101264.24,101959.63,3599,541,0
2023-11-19 02:00:00,101958.46,102180.52,101015.11,101281.4,3600,539,0
2023-11-19 03:00:00,101261.13,101906.76,101148.63,101366.63,3598,540,0
2023-11-19 04:00:00,101371.3,101846.44,100865.87,101061.29,3600,538,0
2023-11-19 05:00:00,101077.23,101823.45,100834.36,101296.41,3571,538,0
2023-11-19 06:00:00,101306.59,101601.22,100912.71,101172.68,3599,539,0
2023-11-19 07:00:00,101183.21,101205.59,99666.61,99859.83,3600,532,0
2023-11-19 08:00:00,99875.31,100567.16,99345.42,99947.36,3597,530,0
2023-11-19 09:00:00,99936.68,101432.86,99916.65,100625.35,3600,533,0
2023-11-19 10:00:00,100630.68,100693.01,99614.81,100112.22,3598,532,0
2023-11-19 11:00:00,100104.03,101069.19,100103.43,100797.2,3597,535,0
2023-11-19 12:00:00,100787.25,101255.47,100218.66,100357.52,3599,535,0
2023-11-19 13:00:00,100356.97,100923.32,99822.42,100806.94,3599,533,0
2023-11-19 14:00:00,100824.75,100840.8,98966.23,99048.9,3600,528,0
2023-11-19 15:00:00,99041.38,99122.33,97361.01,97544.43,3600,520,0
2023-11-19 16:00:00,97549.26,97786.05,97258.69,97399.52,3598,519,0
2023-11-19 17:00:00,97393.27,97574.2,96494.29,96962.1,3599,515,0
2023-11-19 18:00:00,96952.95,97755.14,96462.7,97382.77,3600,515,0
2023-11-19 19:00:00,97383.81,98172.83,97383.81,98043.57,3597,520,0
2023-11-19 20:00:00,98055.69,98181.13,97070.13,97668.07,3598,518,0
2023-11-19 21:00:00,97670.7,98727.19,97440.66,98459.22,3598,520,0
2023-11-19 22:00:00,98464.13,98759.26,98219.02,98441.52,3599,524,0
2023-11-19 23:00:00,98449.23,98545.72,97675.43,98368.57,3597,521,0
2023-11-20 00:00:00,98352.4,98684.45,97723.07,98009.53,3600,522,0
2023-11-20 01:00:00,98004.06,98899.45,97945.11,98857.41,3599,523,0
2023-11-20 02:00:00,98875.02,99062.92,98049.4,98056.14,3599,523,0
2023-11-20 03:00:00,98057.58,98079.48,96161.14,96217.9,3599,513,0
2023-11-20 04:00:00,96207.94,97055.28,96014.19,96964.78,3600,513,0
2023-11-20 05:00:00,96968.23,97441.95,96571.57,97403.73,3599,515,0
2023-11-20 06:00:00,97409.05,97495.49,96472.8,96541.94,3598,515,0
2023-11-20 07:00:00,96551.51,96753.97,95399.82,96074.1,3598,509,0
2023-11-20 08:00:00,96106.79,96110.32,94513.44,94864.39,3598,505,0
2023-11-20 09:00:00,94873.92,95232.76,94164.2,95155.32,3597,503,0
2023-11-20 10:00:00,95158.12,95732.94,95027.19,95154.54,3600,507,0
2023-11-20 11:00:00,95152.35,95321.62,94374.17,94439.88,3380,253,0
